,nominees,details,imdb_urls,award_show,year,award,winner,ref_year
4,Rocketman,Julian Day,https://www.imdb.com//title/tt2066051/?ref_=ev_nom,Satellite,2019,Best Costume Design,0,1
5,The Two Popes,Luca Canfora,https://www.imdb.com//title/tt8404614/?ref_=ev_nom,Satellite,2019,Best Costume Design,0,1
0,James Mangold,Ford v Ferrari,https://www.imdb.com//name/nm0003506/?ref_=ev_nom,Satellite,2019,Best Director,1,1
1,Bong Joon Ho,Parasite,https://www.imdb.com//name/nm0094435/?ref_=ev_nom,Satellite,2019,Best Director,0,1
2,Noah Baumbach,Marriage Story,https://www.imdb.com//name/nm0000876/?ref_=ev_nom,Satellite,2019,Best Director,0,1
3,Pedro Almodóvar,Pain and Glory,https://www.imdb.com//name/nm0000264/?ref_=ev_nom,Satellite,2019,Best Director,0,1
4,Quentin Tarantino,Once Upon a Time... in Hollywood,https://www.imdb.com//name/nm0000233/?ref_=ev_nom,Satellite,2019,Best Director,0,1
5,Sam Mendes,1917,https://www.imdb.com//name/nm0005222/?ref_=ev_nom,Satellite,2019,Best Director,0,1
0,Ford v Ferrari,"Michael McCusker, Andrew Buckland",https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Satellite,2019,Best Film Editing,1,1
1,1917,Lee Smith,https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Satellite,2019,Best Film Editing,0,1
2,Joker,Jeff Groth,https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Satellite,2019,Best Film Editing,0,1
3,Marriage Story,Jennifer Lame,https://www.imdb.com//title/tt7653254/?ref_=ev_nom,Satellite,2019,Best Film Editing,0,1
4,Rocketman,Chris Dickens,https://www.imdb.com//title/tt2066051/?ref_=ev_nom,Satellite,2019,Best Film Editing,0,1
5,The Irishman,Thelma Schoonmaker,https://www.imdb.com//title/tt1302006/?ref_=ev_nom,Satellite,2019,Best Film Editing,0,1
0,Chernobyl,,https://www.imdb.com//title/tt7366338/?ref_=ev_nom,Satellite,2019,Best Miniseries & Limited Series,1,1
1,Fosse/Verdon,,https://www.imdb.com//title/tt8746478/?ref_=ev_nom,Satellite,2019,Best Miniseries & Limited Series,0,1
2,The Act,,https://www.imdb.com//title/tt8682948/?ref_=ev_nom,Satellite,2019,Best Miniseries & Limited Series,0,1
3,Unbelievable,,https://www.imdb.com//title/tt7909970/?ref_=ev_nom,Satellite,2019,Best Miniseries & Limited Series,0,1
4,When They See Us,,https://www.imdb.com//title/tt7137906/?ref_=ev_nom,Satellite,2019,Best Miniseries & Limited Series,0,1
5,Years and Years,,https://www.imdb.com//title/tt8694364/?ref_=ev_nom,Satellite,2019,Best Miniseries & Limited Series,0,1
0,El Camino: A Breaking Bad Movie,,https://www.imdb.com//title/tt9243946/?ref_=ev_nom,Satellite,2019,Best Motion Picture Made for Television,1,1
1,Brexit,,https://www.imdb.com//title/tt8425058/?ref_=ev_nom,Satellite,2019,Best Motion Picture Made for Television,0,1
2,Brittany Runs a Marathon,,https://www.imdb.com//title/tt7671064/?ref_=ev_nom,Satellite,2019,Best Motion Picture Made for Television,0,1
3,Deadwood: The Movie,,https://www.imdb.com//title/tt4943998/?ref_=ev_nom,Satellite,2019,Best Motion Picture Made for Television,0,1
4,The Highwaymen,,https://www.imdb.com//title/tt1860242/?ref_=ev_nom,Satellite,2019,Best Motion Picture Made for Television,0,1
0,The Lion King,,https://www.imdb.com//title/tt6105098/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Animated or Mixed Media",1,1
1,A Shaun the Sheep Movie: Farmageddon,,https://www.imdb.com//title/tt6193408/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Animated or Mixed Media",0,1
2,Alita: Battle Angel,,https://www.imdb.com//title/tt0437086/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Animated or Mixed Media",0,1
3,Buñuel in the Labyrinth of the Turtles,,https://www.imdb.com//title/tt7336470/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Animated or Mixed Media",0,1
4,How to Train Your Dragon: The Hidden World,,https://www.imdb.com//title/tt2386490/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Animated or Mixed Media",0,1
5,Toy Story 4,,https://www.imdb.com//title/tt1979376/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Animated or Mixed Media",0,1
6,Weathering with You,,https://www.imdb.com//title/tt9426210/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Animated or Mixed Media",0,1
0,Once Upon a Time... in Hollywood,,https://www.imdb.com//title/tt7131622/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Comedy or Musical",1,1
1,Hustlers,,https://www.imdb.com//title/tt5503686/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Comedy or Musical",0,1
2,Knives Out,,https://www.imdb.com//title/tt8946378/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Comedy or Musical",0,1
3,Rocketman,,https://www.imdb.com//title/tt2066051/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Comedy or Musical",0,1
4,The Farewell,,https://www.imdb.com//title/tt8637428/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Comedy or Musical",0,1
5,Uncut Gems,,https://www.imdb.com//title/tt5727208/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Comedy or Musical",0,1
0,63 Up,,https://www.imdb.com//title/tt8929142/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",1,1
1,Apollo 11,,https://www.imdb.com//title/tt8760684/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",0,1
2,Citizen K,,https://www.imdb.com//title/tt8824526/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",0,1
3,For Sama,,https://www.imdb.com//title/tt9617456/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",0,1
4,Honeyland,,https://www.imdb.com//title/tt8991268/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",0,1
5,One Child Nation,,https://www.imdb.com//title/tt8923482/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",0,1
6,The Apollo,,https://www.imdb.com//title/tt7935908/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",0,1
7,The Cave,,https://www.imdb.com//title/tt7178226/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Documentary",0,1
0,Ford v Ferrari,,https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",1,1
1,1917,,https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",0,1
2,Bombshell,,https://www.imdb.com//title/tt6394270/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",0,1
3,Burning Cane,,https://www.imdb.com//title/tt7358154/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",0,1
4,Joker,,https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",0,1
5,Marriage Story,,https://www.imdb.com//title/tt7653254/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",0,1
6,The Lighthouse,,https://www.imdb.com//title/tt7984734/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",0,1
7,The Two Popes,,https://www.imdb.com//title/tt8404614/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, Drama",0,1
0,Truth and Justice,,https://www.imdb.com//title/tt5593384/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",1,1
1,Atlantics,,https://www.imdb.com//title/tt10199586/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",0,1
2,Beanpole,,https://www.imdb.com//title/tt10199640/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",0,1
3,Les misérables,,https://www.imdb.com//title/tt10199590/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",0,1
4,Pain and Glory,,https://www.imdb.com//title/tt8291806/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",0,1
5,Parasite,,https://www.imdb.com//title/tt6751668/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",0,1
6,Portrait of a Lady on Fire,,https://www.imdb.com//title/tt8613070/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",0,1
7,The Painted Bird,,https://www.imdb.com//title/tt1667354/?ref_=ev_nom,Satellite,2019,"Best Motion Picture, International Film",0,1
0,Joker,Hildur Guðnadóttir,https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Satellite,2019,Best Original Score,1,1
1,1917,Thomas Newman,https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Satellite,2019,Best Original Score,0,1
2,Ford v Ferrari,"Marco Beltrami, Buck Sanders",https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Satellite,2019,Best Original Score,0,1
3,Harriet,Terence Blanchard,https://www.imdb.com//title/tt4648786/?ref_=ev_nom,Satellite,2019,Best Original Score,0,1
4,Marriage Story,Randy Newman,https://www.imdb.com//title/tt7653254/?ref_=ev_nom,Satellite,2019,Best Original Score,0,1
5,The Irishman,Robbie Robertson,https://www.imdb.com//title/tt1302006/?ref_=ev_nom,Satellite,2019,Best Original Score,0,1
0,Rocketman,,https://www.imdb.com//title/tt2066051/?ref_=ev_nom,Satellite,2019,Best Original Song,1,1
1,Alita: Battle Angel,,https://www.imdb.com//title/tt0437086/?ref_=ev_nom,Satellite,2019,Best Original Song,0,1
2,Charlie's Angels,,https://www.imdb.com//title/tt5033998/?ref_=ev_nom,Satellite,2019,Best Original Song,0,1
3,Frozen II,,https://www.imdb.com//title/tt4520988/?ref_=ev_nom,Satellite,2019,Best Original Song,0,1
4,The Lion King,,https://www.imdb.com//title/tt6105098/?ref_=ev_nom,Satellite,2019,Best Original Song,0,1
5,Toy Story 4,,https://www.imdb.com//title/tt1979376/?ref_=ev_nom,Satellite,2019,Best Original Song,0,1
0,Joker,"Todd Phillips, Scott Silver",https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Adapted",1,1
1,Dark Waters,"Matthew Michael Carnahan, Mario Correa, Nathaniel Rich",https://www.imdb.com//title/tt9071322/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Adapted",0,1
2,Jojo Rabbit,Taika Waititi,https://www.imdb.com//title/tt2584384/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Adapted",0,1
3,Motherless Brooklyn,Edward Norton,https://www.imdb.com//title/tt0385887/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Adapted",0,1
4,The Irishman,Steven Zaillian,https://www.imdb.com//title/tt1302006/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Adapted",0,1
5,The Two Popes,Anthony McCarten,https://www.imdb.com//title/tt8404614/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Adapted",0,1
0,Marriage Story,Noah Baumbach,https://www.imdb.com//title/tt7653254/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Original",1,1
1,Ford v Ferrari,"Jez Butterworth, John-Henry Butterworth, Jason Keller",https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Satellite,2019,"Best Screenplay, Original",0,1
